,EAN Code,TV Model,PVP,TVs
1352,8806098386468.0,65UM7400PLB.AEU,599.75,True
1353,8806098424573.0,55SM9010PLA.AEU,659.51,True
1354,8806098387854.0,49UM7400PLB.AEU,349.32,True
1355,8806098387854.0,49UM7400PLB.AEU,349.32,True
1356,8806098424573.0,55SM9010PLA.AEU,795.31,True
1357,8806098385676.0,OLED55C9PLA.AEU,999.39,True
1358,8806098386468.0,65UM7400PLB.AEU,599.75,True
1359,8806098388127.0,49UM7390PLC.AEU,434.16,True
1360,8806098385676.0,OLED55C9PLA.AEU,999.39,True
1361,8806098387854.0,49UM7400PLB.AEU,399.31,True
1362,8806098385676.0,OLED55C9PLA.AEU,999.39,True
1363,8806098385676.0,OLED55C9PLA.AEU,999.39,True
1364,8806098424573.0,55SM9010PLA.AEU,692.46,True
1365,8806098383269.0,49SM9000PLA.AEU,809.66,True
1366,8806098387854.0,49UM7400PLB.AEU,349.32,True
1367,8806098385676.0,OLED55C9PLA.AEU,999.39,True
1368,8806098387854.0,49UM7400PLB.AEU,349.32,True
1369,8806098387960.0,43UM7600PLB.AEU,426.7,True
1370,8806098387854.0,49UM7400PLB.AEU,349.32,True
1371,8806098387854.0,49UM7400PLB.AEU,349.32,True
1372,8806098424573.0,55SM9010PLA.AEU,692.46,True
1373,8806098387854.0,49UM7400PLB.AEU,349.32,True
1374,8806098424573.0,55SM9010PLA.AEU,692.46,True
1375,8806098424573.0,55SM9010PLA.AEU,692.46,True
1376,8806098424573.0,55SM9010PLA.AEU,692.46,True
1377,8806098386468.0,65UM7400PLB.AEU,599.75,True
1378,8806098385676.0,OLED55C9PLA.AEU,1349.39,True
1379,8806098385676.0,OLED55C9PLA.AEU,999.39,True
1380,8806098387854.0,49UM7400PLB.AEU,349.32,True
1381,8806098383269.0,49SM9000PLA.AEU,694.31,True
1382,8806098293957.0,24TL510S-PZ.AEU,263.52,True
1383,8806098293957.0,24TL510S-PZ.AEU,263.52,True
1384,8806098388684.0,43UM7390PLC.AEU,324.54,True
1385,8806098388684.0,43UM7390PLC.AEU,324.54,True
1386,8806098544172.0,24GL650-B.AEU,162.7,True
1387,8806098387854.0,49UM7400PLB.AEU,366.76,True
1388,8806098387854.0,49UM7400PLB.AEU,349.32,True
1389,8806098387854.0,49UM7400PLB.AEU,349.32,True
1390,8806098387854.0,49UM7400PLB.AEU,349.32,True
1391,8806098387854.0,49UM7400PLB.AEU,349.32,True
1392,8806098387069.0,55UM7450PLA.AEU,440.57,True
1393,8806098293971.0,28TL510S-PZ.AEU,158.77,True
1394,8806098386468.0,65UM7400PLB.AEU,599.75,True
